Carry,TotalDistance,BallSpeed,BackSpin,SideSpin,HLA,VLA,Decent,DistanceToPin,PeakHeight,Offline,rawSpinAxis,rawCarryGame,rawCarryLM,Club,ClubSpeed,Path,AoA,FaceToTarget,FaceToPath,Lie,Loft,DynamicLoft,CR,HI,VI,SmashFactor
107.5988,112.7265,85.16,8465.383,-51.52943,-2.065816,23.16656,43.01937,316.08 yds,59.96929,-4.085567,-0.3488659,106.3435,0,DR,74.15249,-1.71554,-7.971328,-3.400563,1.685023,0.1816911,31.02856,38.95852,0,-0.9531474,-0.381352,0
115.0539,122.3362,91.69678,7810.104,1659.402,4.223683,16.11648,34.36456,308.48 yds,45.09969,17.71466,12.27043,114.0717,0,DR,77.31473,1.727826,-6.667082,6.702282,-4.974456,0.2551689,26.19872,32.86393,0,-0.6727476,-0.4587964,0
99.14877,103.6994,80.9301,9461.084,869.8462,-2.05976,23.29498,41.43751,325 yds,53.91201,-0.1398764,5.275184,98.17886,0,DR,73.57477,-2.646773,-6.935869,1.497776,-4.144549,2.356052,31.64281,38.61127,0,-0.416697,-0.4173694,0
111.4493,115.9018,88.04695,9490.868,447.3196,-0.7148311,22.99789,44.54832,312.8 yds,64.95118,0.8072718,2.701608,110.0223,0,DR,77.26136,0.8942657,-6.949399,1.02083,-0.1265638,-0.5181583,29.81451,36.7234,0,-0.1732312,-0.3295879,0
117.3249,122.0542,91.17362,8868.93,203.2729,-0.7487069,24.03601,46.7668,306.64 yds,73.55821,-0.3590853,1.313582,115.7295,0,DR,77.95195,0.3487808,-8.373562,-0.999025,1.347806,1.424295,32.20321,40.49012,0,-0.476005,-0.1641857,0
120.3524,125.1865,92.95853,8558.899,-468.3546,-3.116811,25.2353,48.44738,304.06 yds,80.77209,-9.336371,-3.139994,118.7005,0,DR,77.56631,-0.2770252,-5.578063,-4.636035,4.35901,0.2348113,32.60973,38.16245,0,-0.1712875,-0.4138758,0
117.4414,125.7578,94.19931,7470.244,1562.694,1.879033,13.95433,31.71989,304.12 yds,40.4929,13.14915,12.07553,116.5738,0,DR,76.41193,-0.4382507,-6.164933,5.011451,-5.449702,1.203068,23.21663,29.34931,0,-0.5543915,-0.7301039,0
98.05453,103.313,79.60252,8181.937,-426.9972,-2.140685,23.80578,41.76392,325.6 yds,52.71271,-5.417364,-2.991728,97.17536,0,DR,74.32514,-1.42822,-8.870396,-3.313236,1.885017,0.05520718,35.33344,44.12002,0,-1.309497,0.6286749,0
123.1636,128.5102,93.99117,7923.485,-899.9703,-3.053674,24.14234,46.7833,301.17 yds,78.14267,-12.48814,-6.529577,121.3976,0,DR,76.5108,0.618339,-8.749092,-6.847301,7.46564,2.855255,32.58245,41.2355,0,-0.7111081,-0.09696075,0
113.1794,118.1702,88.34506,8351.772,-207.2956,2.899848,24.79793,45.66942,310.66 yds,70.57248,4.507782,-1.422578,111.7094,0,DR,74.99663,4.544572,-6.862063,3.680095,0.8644769,0.5152736,32.40911,39.46068,0,-0.5661823,-0.05798849,0
75.24842,81.68169,67.13521,6581.815,-536.631,2.67018,25.29252,37.52421,347.05 yds,37.04106,1.918813,-4.67726,74.86551,0,DR,59.01842,4.533761,-7.173464,0.7026227,3.831138,2.490438,35.82145,43.15067,0,-1.071695,-0.02546625,0
93.32454,103.1992,76.14279,4063.809,-1126.381,-1.741391,24.3326,36.21956,326.3 yds,44.67222,-9.710343,-16.12789,92.68694,0,DR,65.71472,3.239099,-7.934742,-5.32693,8.566029,0.9972106,34.29725,42.26847,0,-1.033106,0.4932152,0
101.6138,107.3371,81.06255,7242.718,-156.0358,2.597623,25.07688,42.42075,321.46 yds,58.00943,3.791173,-1.23448,100.5372,0,DR,67.12597,6.53363,-8.325306,1.106265,5.427365,2.37644,33.76224,42.45657,0,-0.02989533,-0.1020732,0
113.0715,119.0655,87.57549,6863.03,-1418.05,-1.71177,24.94588,44.66098,310.64 yds,67.57208,-12.23001,-11.93898,111.7708,0,DR,72.69332,6.270927,-9.447153,-4.046217,10.31714,3.696197,30.2334,40.01147,0,0.5266356,0.2008432,0
117.1835,123.0968,89.91674,6930.295,-1257.559,1.007115,25.15023,46.00364,305.87 yds,72.70985,-6.387676,-10.45474,115.7002,0,DR,74.16113,8.180021,-6.014888,-1.838143,10.01816,3.141634,30.61098,37.42197,0,0.5134009,-0.02491487,0
81.93272,89.77468,70.52055,5378.643,-646.0687,-1.27285,25.16444,36.74084,339.09 yds,40.48549,-4.376454,-6.918746,81.45334,0,DR,66.96837,5.433824,-6.110506,-0.6305621,6.064386,-2.427125,33.72258,40.13016,0,-0.042047,0.825362,0
107.3742,112.8893,84.39637,7196.312,-997.8077,0.8111399,26.69654,46.18708,315.92 yds,68.21106,-4.041093,-7.970679,106.0445,0,DR,72.36888,3.99927,-3.963017,4.102976,-0.1037059,0.627057,37.07589,41.19834,0,0.5818739,0.3262457,0
94.892,101.1798,77.49223,6530.739,-1253.322,1.158128,25.43168,41.67442,327.64 yds,52.01834,-3.898986,-11.06929,94.10116,0,DR,69.28645,7.12734,-8.710135,-0.13631,7.26365,1.464814,32.77555,41.94041,0,0.1060695,0.9149696,0
101.3916,107.3344,81.01134,7085.381,-735.6816,0.3725097,24.60471,42.3526,321.43 yds,56.24268,-2.994101,-5.959898,100.4793,0,DR,73.8313,4.750888,-7.973181,-1.064141,5.815029,-2.134114,32.04346,40.19731,0,0.3705133,0.6222658,0
115.2252,120.4331,89.41234,7791.706,-831.8217,1.590994,26.25406,47.64991,308.29 yds,76.65268,-1.873722,-6.128999,113.6137,0,DR,76.37061,4.992068,-6.35808,2.90793,2.084137,-1.022772,31.98044,38.59441,0,0.2054376,0.385922,0
114.0123,119.2397,88.53111,7700.647,-428.4612,3.245364,26.21503,46.8568,309.55 yds,75.00971,3.814587,-3.189544,112.5086,0,DR,74.34086,6.757413,-6.934661,3.240477,3.516937,-0.1139897,31.98172,39.39723,0,0.1924865,0.5103246,1.190881
107.593,112.9185,84.58811,7584.975,-128.1732,2.415907,26.24904,45.99586,315.88 yds,67.88529,3.790536,-0.9695481,106.2605,0,DR,74.46999,4.404148,-4.859959,2.384111,2.020036,-0.6934453,38.60886,43.64263,0,0.2163634,0.4358283,0
88.31466,96.16319,73.49417,5058.093,-369.1587,1.916691,25.52025,39.20014,332.54 yds,45.42852,1.160291,-4.193532,87.76649,0,DR,71.5997,6.970958,-7.559971,2.198913,4.772045,-0.3110333,32.88778,40.92405,0,-0.3352219,1.096155,0
104.1737,110.5093,82.61906,6863.042,-733.1035,-0.5549954,23.49353,41.37004,318.36 yds,55.35445,-4.883517,-6.133955,103.1543,0,DR,75.29044,6.347436,-10.4752,0.3268989,6.020537,1.11752,30.77699,41.53117,0,0.09615973,1.069642,0
10.8012,46.98667,49.70154,1752.407,-796.7132,-5.49869,4.671731,2.906523,382.03 yds,0.6627472,-1.143668,-27.58937,10.75438,0,DR,38.23981,2.462301,-7.468972,-9.565017,12.02732,-2.146662,21.73874,29.24494,0,-0.4371363,-0.5194782,0
11.92587,29.63494,51.98711,6299.867,-304.2194,-3.375513,2,3.578004,399.12 yds,0.6837806,-0.3972769,0,6.747261,0,DR,45.02086,5.855172,-6.395477,0.3644907,5.490682,0.4435671,24.39579,31.27688,0,0.650663,-1.150329,0
10.18682,23.43049,47.59563,6974.464,-793.7279,-1.832189,2,2.776262,405.28 yds,0.5400196,-0.1697032,0,5.307823,0,DR,43.88224,4.245184,-7.606382,-1.013135,5.258319,-6.135553,20.31015,28.16162,0,-0.09540468,-1.163891,0
29.44541,64.60177,60.38297,2848.733,-1254.86,-9.326609,8.073305,7.224534,365.73 yds,3.369071,-5.756858,-26.8651,29.53199,0,DR,47.96461,0.8331267,-0.6952397,-12.7091,13.54223,1.12412,28.94044,29.64635,0,-0.4700606,-1.125528,0
33.43015,39.42412,42.48583,4708.897,1099.517,7.04058,29.64333,32.98911,389.77 yds,16.12608,4.901287,13.50309,33.42813,0,DR,47.55657,2.538994,-5.259897,12.01562,-9.476624,-1.977946,38.17621,43.47812,0,0.5909737,-0.4900994,0
13.82135,30.91026,53.31564,6714.327,-510.7975,-4.292348,2,3.134019,397.88 yds,0.7484577,-0.5564601,0,7.434778,0,DR,46.31619,2.215544,-6.933643,-12.4223,14.63784,-2.690814,22.5468,29.51005,0,-1.078852,-0.9321103,0
57.55946,66.82423,58.31234,4733.828,-1526.749,-6.209093,25.06288,30.96259,363.02 yds,24.92845,-9.472468,-18.84112,57.39148,0,DR,47.1024,5.623697,0.5986111,-12.42791,18.05161,-2.411089,32.34229,32.1838,0,-0.1962594,-0.1369037,0
